Division,Make,MasterCollection,Collection,Classification,SubClassification,SubSection,Type,Gender,DesignNumber,Jewellery
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0212,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0213,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0219,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0220,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0222,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0226,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0229,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0238,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0239,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0246,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0250,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0253,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0255,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0259,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0260,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0261,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0264,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0270,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0272,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0274,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0276,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0278,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0280,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0281,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0284,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- FANCY,SHORT,GENTS,RGRCL0285,CHAIN
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0009,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0011,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0012,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0032,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0034,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0035,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0056,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0075,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0076,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0082,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0083,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0084,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0093,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0098,BANGLE
GOLD,18 CT,ROSE GOLD,ROSE CLASSIC,LIFE STYLE,L2,G- KADA,BROAD,GENTS,RGRCL0102,BANGLE
